,UniProt ID,Nb_interactions,Gene Name,Name
1140,O60706,3,ABCC9,ATP-binding cassette sub-family C member 9
1141,Q9NR96,3,TLR9,Toll-like receptor 9
1142,O60858,3,TRIM13,E3 ubiquitin-protein ligase TRIM13
1143,Q9NQX3,3,GPHN,Gephyrin
1144,P32238,3,CCKAR,Cholecystokinin receptor type A
1145,P32119,3,PRDX2,Peroxiredoxin-2
1146,Q9NZV8,3,KCND2,Potassium voltage-gated channel subfamily D member 2
1147,O43741,3,PRKAB2,5'-AMP-activated protein kinase subunit beta-2
1149,Q9ULX7,3,CA14,Carbonic anhydrase 14
1150,O43708,3,GSTZ1,Maleylacetoacetate isomerase
1151,Q9UF02,3,CACNG5,Voltage-dependent calcium channel gamma-5 subunit
1152,O43246,3,SLC7A4,Cationic amino acid transporter 4
1153,P49789,3,FHIT,Bis(5'-adenosyl)-triphosphatase
1154,P49759,3,CLK1,Dual specificity protein kinase CLK1
1155,O43252,3,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1
1156,Q9UHA3,3,RSL24D1,Probable ribosome biogenesis protein RLP24
1157,P49902,3,NT5C2,Cytosolic purine 5'-nucleotidase
1158,P49908,3,SEPP1,Selenoprotein P
1159,Q9UKG9,3,CROT,Peroxisomal carnitine O-octanoyltransferase
1160,Q9UDX4,3,SEC14L3,SEC14-like protein 3
1161,Q9UDX3,3,SEC14L4,SEC14-like protein 4
1162,P35556,3,FBN2,Fibrillin-2
1163,P36873,3,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
1164,O43451,3,MGAM,"Maltase-glucoamylase, intestinal"
1165,O43526,3,KCNQ2,Potassium voltage-gated channel subfamily KQT member 2
1166,Q9UBV8,3,PEF1,Peflin
1167,Q9UBT6,3,POLK,DNA polymerase kappa
1168,O43617,3,TRAPPC3,Trafficking protein particle complex subunit 3
1169,Q9UBQ6,3,EXTL2,Exostosin-like 2
1170,Q9UBN1,3,CACNG4,Voltage-dependent calcium channel gamma-4 subunit
1171,Q9UBK8,3,MTRR,Methionine synthase reductase
1172,Q9NPH2,3,ISYNA1,Inositol-3-phosphate synthase 1
1173,P48728,3,AMT,"Aminomethyltransferase, mitochondrial"
1174,P55263,3,ADK,Adenosine kinase
1175,O14958,3,CASQ2,Calsequestrin-2
1176,P40925,3,MDH1,"Malate dehydrogenase, cytoplasmic"
1177,P30411,3,BDKRB2,B2 bradykinin receptor
1178,P40926,3,MDH2,"Malate dehydrogenase, mitochondrial"
1179,O94788,3,ALDH1A2,Retinal dehydrogenase 2
1180,Q99870,3,VMAT2,Vesicle monoamine transporter type 2
1181,Q99828,3,CIB1,Calcium and integrin-binding protein 1
1182,Q99808,3,SLC29A1,Equilibrative nucleoside transporter 1
1183,Q99653,3,CHP1,Calcineurin B homologous protein 1
1184,Q99643,3,SDHC,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial"
1185,P30044,3,PRDX5,"Peroxiredoxin-5, mitochondrial"
1186,P41146,3,OPRL1,Nociceptin receptor
1187,P30041,3,PRDX6,Peroxiredoxin-6
1188,Q99623,3,PHB2,Prohibitin-2
1189,P29972,3,AQP1,Aquaporin-1
1190,O95342,3,ABCB11,Bile salt export pump
1191,O14791,3,APOL1,Apolipoprotein L1
1192,P29597,3,TYK2,Non-receptor tyrosine-protein kinase TYK2
1193,O95477,3,ABCA1,ATP-binding cassette sub-family A member 1
1194,Q9UGI6,3,KCNN3,Small conductance calcium-activated potassium channel protein 3
1196,O95622,3,ADCY5,Adenylate cyclase type 5
1197,Q96SW2,3,CRBN,Protein cereblon
1198,Q9BQE3,3,TUBA1C,Tubulin alpha-1C chain
1199,P40429,3,RPL13A,60S ribosomal protein L13a
1200,Q9NPA2,3,MMP25,Matrix metalloproteinase-25
1201,P40238,3,MPL,Thrombopoietin receptor
1202,Q9NPA1,3,KCNMB3,Calcium-activated potassium channel subunit beta-3
1204,Q9UNA0,3,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5
1205,Q9NP56,3,PDE7B,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B"
1207,Q9HCR9,3,PDE11A,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"
1209,Q9HC97,3,GPR35,G-protein coupled receptor 35
1210,Q9HBA0,3,TRPV4,Transient receptor potential cation channel subfamily V member 4
1211,O75636,3,FCN3,Ficolin-3
1212,Q9H2S1,3,KCNN2,Small conductance calcium-activated potassium channel protein 2
1214,Q9H2G2,3,SLK,STE20-like serine/threonine-protein kinase
1215,O75838,3,CIB2,Calcium and integrin-binding family member 2
1216,P53609,3,PGGT1B,Geranylgeranyl transferase type-1 subunit beta
1217,P53611,3,RABGGTB,Geranylgeranyl transferase type-2 subunit beta
1218,P53778,3,MAPK12,Mitogen-activated protein kinase 12
1219,P30825,3,SLC7A1,High affinity cationic amino acid transporter 1
1220,P30626,3,SRI,Sorcin
1221,P30613,3,PKLR,Pyruvate kinase PKLR
1222,P30559,3,OXTR,Oxytocin receptor
1223,P39086,3,GRIK1,"Glutamate receptor ionotropic, kainate 1"
1225,Q9BXT2,3,CACNG6,Voltage-dependent calcium channel gamma-6 subunit
1226,Q9UNX3,3,RPL26L1,60S ribosomal protein L26-like 1
1227,P30532,3,CHRNA5,Neuronal acetylcholine receptor subunit alpha-5
1228,O75874,3,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic
1229,P11310,3,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
1230,Q4U2R8,3,SLC22A6,Solute carrier family 22 member 6
1231,Q06203,3,PPAT,Amidophosphoribosyltransferase
1232,P17405,3,SMPD1,Sphingomyelin phosphodiesterase
1233,P07203,3,GPX1,Glutathione peroxidase 1
1234,P16930,3,FAH,Fumarylacetoacetase
1235,P07225,3,PROS1,Vitamin K-dependent protein S
1236,Q5T1J1,3,SIGMAR1,"HCG20471, isoform CRA_c"
1237,Q07817,3,BCL2L1,Bcl-2-like protein 1
1238,Q53ET4,3,,Serine hydroxymethyltransferase
1239,Q92696,3,RABGGTA,Geranylgeranyl transferase type-2 subunit alpha
1240,P07357,3,C8A,Complement component C8 alpha chain
1241,P16435,3,POR,NADPH--cytochrome P450 reductase
1242,Q08257,3,CRYZ,Quinone oxidoreductase
1243,P07384,3,CAPN1,Calpain-1 catalytic subunit
1244,Q32P28,3,P3H1,Prolyl 3-hydroxylase 1
1245,P16219,3,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial"
1246,Q2TU84,3,GIG18,Aspartate aminotransferase
1247,Q08462,3,ADCY2,Adenylate cyclase type 2
1248,P07711,3,CTSL,Cathepsin L1
1249,Q08828,3,ADCY1,Adenylate cyclase type 1
1250,Q16853,3,AOC3,Membrane primary amine oxidase
1251,Q06481,3,APLP2,Amyloid-like protein 2
1252,Q06033,3,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3
1253,P15538,3,CYP11B1,"Cytochrome P450 11B1, mitochondrial"
1254,Q05901,3,CHRNB3,Neuronal acetylcholine receptor subunit beta-3
1255,Q86YZ3,3,HRNR,Hornerin
1256,P19320,3,VCAM1,Vascular cell adhesion protein 1
1257,Q02818,3,NUCB1,Nucleobindin-1
1258,P05160,3,F13B,Coagulation factor XIII B chain
1259,P19021,3,PAM,Peptidyl-glycine alpha-amidating monooxygenase
1260,Q86W47,3,KCNMB4,Calcium-activated potassium channel subunit beta-4
1262,Q03154,3,ACY1,Aminoacylase-1
1263,Q86VU5,3,COMTD1,Catechol O-methyltransferase domain-containing protein 1
1264,Q86UW7,3,CADPS2,Calcium-dependent secretion activator 2
1265,Q7Z4W1,3,DCXR,L-xylulose reductase
1266,P18545,3,PDE6G,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
1267,Q7Z3S7,3,CACNA2D4,Voltage-dependent calcium channel subunit alpha-2/delta-4
1268,Q7Z2Z2,3,EFTUD1,Elongation factor Tu GTP-binding domain-containing protein 1
1269,Q04771,3,ACVR1,Activin receptor type-1
1270,Q7L0J3,3,SV2A,Synaptic vesicle glycoprotein 2A
1271,P06241,3,FYN,Tyrosine-protein kinase Fyn
1272,Q05397,3,PTK2,Focal adhesion kinase 1
1273,Q75N90,3,FBN3,Fibrillin-3
1274,P06703,3,S100A6,Protein S100-A6
1275,Q16836,3,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
1276,P08514,3,ITGA2B,Integrin alpha-IIb
1277,P19634,3,SLC9A1,Sodium/hydrogen exchanger 1
1278,P10145,3,CXCL8,Interleukin-8
1279,Q13555,3,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma
1280,Q13557,3,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta
1281,P13051,3,UNG,Uracil-DNA glycosylase
1282,P10515,3,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
1283,P12724,3,RNASE3,Eosinophil cationic protein
1284,Q15119,3,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"
1285,P12429,3,ANXA3,Annexin A3
1286,Q13882,3,PTK6,Protein-tyrosine kinase 6
1287,Q13938,3,CAPS,Calcyphosin
1288,P10632,3,CYP2C8,Cytochrome P450 2C8
1289,P10635,3,CYP2D6,Cytochrome P450 2D6
1290,P10644,3,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit
1291,Q14330,3,GPR18,N-arachidonyl glycine receptor
1292,Q14914,3,PTGR1,Prostaglandin reductase 1
1293,P11137,3,MAP2,Microtubule-associated protein 2
1294,Q14643,3,ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1"
1296,Q14624,3,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4
1297,P11498,3,PC,"Pyruvate carboxylase, mitochondrial"
1298,P11488,3,GNAT1,Guanine nucleotide-binding protein G(t) subunit alpha-1
1299,Q15493,3,RGN,Regucalcin
1300,Q15722,3,LTB4R,Leukotriene B4 receptor 1
1301,Q16769,3,QPCT,Glutaminyl-peptide cyclotransferase
1302,P13647,3,KRT5,"Keratin, type II cytoskeletal 5"
1303,Q16719,3,KYNU,Kynureninase
1304,P08779,3,KRT16,"Keratin, type I cytoskeletal 16"
1305,Q16647,3,PTGIS,Prostacyclin synthase
1306,P14923,3,JUP,Junction plakoglobin
1307,P14902,3,IDO1,"Indoleamine 2,3-dioxygenase 1"
1308,Q16613,3,AANAT,Serotonin N-acetyltransferase
1309,Q16602,3,CALCRL,Calcitonin gene-related peptide type 1 receptor
1310,P09172,3,DBH,Dopamine beta-hydroxylase
1311,Q16558,3,KCNMB1,Calcium-activated potassium channel subunit beta-1
1313,Q13233,3,MAP3K1,Mitogen-activated protein kinase kinase kinase 1
1314,P09466,3,PAEP,Glycodelin
1315,P09486,3,SPARC,SPARC
1316,P14550,3,AKR1A1,Alcohol dehydrogenase [NADP(+)]
1317,Q16288,3,NTRK3,NT-3 growth factor receptor
1318,P09769,3,FGR,Tyrosine-protein kinase Fgr
1319,P13726,3,F3,Tissue factor
1320,P13693,3,TPT1,Translationally-controlled tumor protein
1321,P0DP24,3,CALM2,Calmodulin-2
1322,P0DP25,3,CALM3,Calmodulin-3
1323,Q02218,3,OGDH,"2-oxoglutarate dehydrogenase, mitochondrial"
1324,P62913,3,RPL11,60S ribosomal protein L11
1325,P98066,3,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein
1326,Q01726,3,MC1R,Melanocyte-stimulating hormone receptor
1327,P02751,3,FN1,Fibronectin
1328,Q8TDS4,3,HCAR2,Hydroxycarboxylic acid receptor 2
1329,P04798,3,CYP1A1,Cytochrome P450 1A1
1330,P20851,3,C4BPB,C4b-binding protein beta chain
1331,P04792,3,HSPB1,Heat shock protein beta-1
1332,Q8TDU6,3,GPBAR1,G-protein coupled bile acid receptor 1
1333,P21731,3,TBXA2R,Thromboxane A2 receptor
1334,P78362,3,SRPK2,SRSF protein kinase 2
1335,P78368,3,CSNK1G2,Casein kinase I isoform gamma-2
1336,P04424,3,ASL,Argininosuccinate lyase
1337,Q00266,3,MAT1A,S-adenosylmethionine synthase isoform type-1
1338,P22102,3,GART,Trifunctional purine biosynthetic protein adenosine-3
1339,P04350,3,TUBB4A,Tubulin beta-4A chain
1340,P04279,3,SEMG1,Semenogelin-1
1341,P20339,3,RAB5A,Ras-related protein Rab-5A
1342,P78540,3,ARG2,"Arginase-2, mitochondrial"
1343,P20815,3,CYP3A5,Cytochrome P450 3A5
1345,P21796,3,VDAC1,Voltage-dependent anion-selective channel protein 1
1346,P04062,3,GBA,Glucosylceramidase
1347,P20742,3,PZP,Pregnancy zone protein
1348,P04118,3,CLPS,Colipase
1349,Q8N907,3,DAND5,DAN domain family member 5
1350,Q8WUI4,3,HDAC7,Histone deacetylase 7
1352,P20618,3,PSMB1,Proteasome subunit beta type-1
1353,P80303,3,NUCB2,Nucleobindin-2
1354,P04040,3,CAT,Catalase
1355,P21912,3,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
1356,P98170,3,XIAP,E3 ubiquitin-protein ligase XIAP
1357,P05062,3,ALDOB,Fructose-bisphosphate aldolase B
1358,Q8WXS5,3,CACNG8,Voltage-dependent calcium channel gamma-8 subunit
1359,P22460,3,KCNA5,Potassium voltage-gated channel subfamily A member 5
1360,P22413,3,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
1361,P81605,3,DCD,Dermcidin
1362,P19801,3,AOC1,Amiloride-sensitive amine oxidase [copper-containing]
1363,Q8IVL5,3,P3H2,Prolyl 3-hydroxylase 2
1364,P19827,3,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1
1365,Q8IVL6,3,P3H3,Prolyl 3-hydroxylase 3
1366,P22455,3,FGFR4,Fibroblast growth factor receptor 4
1367,P84098,3,RPL19,60S ribosomal protein L19
1368,P80748,3,IGLV3-21,Immunoglobulin lambda variable 3-21
1369,P02746,3,C1QB,Complement C1q subcomponent subunit B
1370,P49368,2,CCT3,T-complex protein 1 subunit gamma
1371,Q9P2W7,2,B3GAT1,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1
1372,Q9UKL6,2,PCTP,Phosphatidylcholine transfer protein
1373,P49419,2,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase
1374,Q13362,2,PPP2R5C,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform
1375,Q16099,2,GRIK4,"Glutamate receptor ionotropic, kainate 4"
1377,Q8TE23,2,TAS1R2,Taste receptor type 1 member 2
1378,Q13393,2,PLD1,Phospholipase D1
1379,Q16134,2,ETFDH,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"
1380,Q9UL54,2,TAOK2,Serine/threonine-protein kinase TAO2
1381,Q9UKU7,2,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial"
1382,P49327,2,FASN,Fatty acid synthase
1383,P63096,2,GNAI1,Guanine nucleotide-binding protein G(i) subunit alpha-1
1384,P49448,2,GLUD2,"Glutamate dehydrogenase 2, mitochondrial"
1385,Q16739,2,UGCG,Ceramide glucosyltransferase
1386,P49146,2,NPY2R,Neuropeptide Y receptor type 2
1387,P49019,2,HCAR3,Hydroxycarboxylic acid receptor 3
1388,Q13093,2,PLA2G7,Platelet-activating factor acetylhydrolase
1389,Q13003,2,GRIK3,"Glutamate receptor ionotropic, kainate 3"
1391,Q16222,2,UAP1,UDP-N-acetylhexosamine pyrophosphorylase
1392,Q9UHI5,2,SLC7A8,Large neutral amino acids transporter small subunit 2
1393,P49585,2,PCYT1A,Choline-phosphate cytidylyltransferase A
1394,P48735,2,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial"
1395,P80511,2,S100A12,Protein S100-A12
1396,Q9UE69,2,,5HT3 serotonin receptor
1397,Q13164,2,MAPK7,Mitogen-activated protein kinase 7
1399,Q969G6,2,RFK,Riboflavin kinase
1400,Q16644,2,MAPKAPK3,MAP kinase-activated protein kinase 3
1401,Q9UEW3,2,MARCO,Macrophage receptor MARCO
1402,Q16566,2,CAMK4,Calcium/calmodulin-dependent protein kinase type IV
1403,Q8TD08,2,MAPK15,Mitogen-activated protein kinase 15
1405,Q8TCT1,2,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase
1406,Q16654,2,PDK4,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial"
1407,Q9UGI5,2,GAD65,Glutamic acid decarboxylase
1408,P63092,2,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
1409,Q13255,2,GRM1,Metabotropic glutamate receptor 1
1410,Q969P6,2,TOP1MT,"DNA topoisomerase I, mitochondrial"
1411,Q92993,2,KAT5,Histone acetyltransferase KAT5
1412,Q9UGI9,2,PRKAG3,5'-AMP-activated protein kinase subunit gamma-3
1413,Q9UGJ0,2,PRKAG2,5'-AMP-activated protein kinase subunit gamma-2
1414,Q13285,2,NR5A1,Steroidogenic factor 1
1415,Q16698,2,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial"
1416,P49721,2,PSMB2,Proteasome subunit beta type-2
1417,Q13332,2,PTPRS,Receptor-type tyrosine-protein phosphatase S
1418,P50225,2,SULT1A1,Sulfotransferase 1A1
1419,Q16478,2,GRIK5,"Glutamate receptor ionotropic, kainate 5"
1421,P59998,2,ARPC4,Actin-related protein 2/3 complex subunit 4
1422,Q15910,2,EZH2,Histone-lysine N-methyltransferase EZH2
1423,Q92806,2,KCNJ9,G protein-activated inward rectifier potassium channel 3
1424,Q9Y2Q3,2,GSTK1,Glutathione S-transferase kappa 1
1425,Q15120,2,PDK3,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"
1426,Q9Y2U5,2,MAP3K2,Mitogen-activated protein kinase kinase kinase 2
1427,Q13838,2,DDX39B,Spliceosome RNA helicase DDX39B
1428,P63261,2,ACTG1,"Actin, cytoplasmic 2"
1429,P47929,2,LGALS7,Galectin-7
1430,Q15118,2,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
1431,P78352,2,DLG4,Disks large homolog 4
1432,Q9Y4U1,2,MMACHC,Methylmalonic aciduria and homocystinuria type C protein
1433,Q9Y5K3,2,PCYT1B,Choline-phosphate cytidylyltransferase B
1434,P47895,2,ALDH1A3,Aldehyde dehydrogenase family 1 member A3
1435,Q9Y600,2,CSAD,Cysteine sulfinic acid decarboxylase
1436,P47775,2,GPR12,G-protein coupled receptor 12
1437,P46976,2,GYG1,Glycogenin-1
1438,Q15185,2,PTGES3,Prostaglandin E synthase 3
1439,Q13956,2,PDE6H,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
1440,Q14123,2,PDE1C,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C"
1441,P67870,2,CSNK2B,Casein kinase II subunit beta
1442,Q9Y617,2,PSAT1,Phosphoserine aminotransferase
1443,Q15078,2,CDK5R1,Cyclin-dependent kinase 5 activator 1
1444,Q15067,2,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1
1445,Q14995,2,NR1D2,Nuclear receptor subfamily 1 group D member 2
1446,Q92781,2,RDH5,11-cis retinol dehydrogenase
1447,Q9Y6I3,2,EPN1,Epsin-1
1448,P45984,2,MAPK9,Mitogen-activated protein kinase 9
1449,Q9Y6K9,2,IKBKG,NF-kappa-B essential modulator
1450,P45954,2,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
1451,Q92506,2,HSD17B8,Estradiol 17-beta-dehydrogenase 8
1452,Q8WVQ1,2,CANT1,Soluble calcium-activated nucleotidase 1
1453,P48029,2,SLC6A8,Sodium- and chloride-dependent creatine transporter 1
1454,P80192,2,MAP3K9,Mitogen-activated protein kinase kinase kinase 9
1455,Q13526,2,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
1456,Q9UNK4,2,PLA2G2D,Group IID secretory phospholipase A2
1457,Q9UNN8,2,PROCR,Endothelial protein C receptor
1458,Q92947,2,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial"
1459,Q9UNQ0,2,ABCG2,ATP-binding cassette sub-family G member 2
1460,Q15758,2,SLC1A5,Neutral amino acid transporter B(0)
1461,P63098,2,PPP3R1,Calcineurin subunit B type 1
1462,P48507,2,GCLM,Glutamate--cysteine ligase regulatory subunit
1463,Q9P289,2,STK26,Serine/threonine-protein kinase 26
1464,P48449,2,LSS,Lanosterol synthase
1465,Q15661,2,TPSAB1,Tryptase alpha/beta-1
1466,P48448,2,ALDH3B2,Aldehyde dehydrogenase family 3 member B2
1467,Q92945,2,KHSRP,Far upstream element-binding protein 2
1468,Q92930,2,RAB8B,Ras-related protein Rab-8B
1469,Q15418,2,RPS6KA1,Ribosomal protein S6 kinase alpha-1
1470,Q9Y2D0,2,CA5B,"Carbonic anhydrase 5B, mitochondrial"
1471,Q9UP95,2,SLC12A4,Solute carrier family 12 member 4
1472,P48163,2,ME1,NADP-dependent malic enzyme
1473,Q9UQB9,2,AURKC,Aurora kinase C
1474,Q9UQL6,2,HDAC5,Histone deacetylase 5
1475,Q15382,2,RHEB,GTP-binding protein Rheb
1476,Q13554,2,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta
1477,Q9Y257,2,KCNK6,Potassium channel subfamily K member 6
1478,Q9Y275,2,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B
1479,Q92887,2,ABCC2,Canalicular multispecific organic anion transporter 1
1480,Q15375,2,EPHA7,Ephrin type-A receptor 7
1481,Q9Y289,2,SLC5A6,Sodium-dependent multivitamin transporter
1482,P78508,2,KCNJ10,ATP-sensitive inward rectifier potassium channel 10
1483,Q13627,2,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A
1484,P48506,2,GCLC,Glutamate--cysteine ligase catalytic subunit
1485,Q16798,2,ME3,"NADP-dependent malic enzyme, mitochondrial"
1486,Q16772,2,GSTA3,Glutathione S-transferase A3
1487,Q7Z2H8,2,SLC36A1,Proton-coupled amino acid transporter 1
1488,P61160,2,ACTR2,Actin-related protein 2
1489,Q7L266,2,ASRGL1,Isoaspartyl peptidase/L-asparaginase
1490,Q99624,2,SLC38A3,Sodium-coupled neutral amino acid transporter 3
1491,Q05315,2,CLC,Galectin-10
1492,Q96EB6,2,SIRT1,NAD-dependent protein deacetylase sirtuin-1
1493,Q99712,2,KCNJ15,ATP-sensitive inward rectifier potassium channel 15
1494,P54756,2,EPHA5,Ephrin type-A receptor 5
1495,Q99714,2,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2
1496,Q01082,2,SPTBN1,"Spectrin beta chain, non-erythrocytic 1"
1497,P54710,2,FXYD2,Sodium/potassium-transporting ATPase subunit gamma
1498,P54646,2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2
1499,Q05932,2,FPGS,"Folylpolyglutamate synthase, mitochondrial"
1500,P54619,2,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1
1501,Q701N4,2,KRTAP5-2,Keratin-associated protein 5-2
1502,Q9BW91,2,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial"
1503,Q96DB2,2,HDAC11,Histone deacetylase 11
1504,Q6YP21,2,CCBL2,Kynurenine--oxoglutarate transaminase 3
1505,Q9BWD1,2,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic"
1506,Q6V0L0,2,CYP26C1,Cytochrome P450 26C1
1507,P61978,2,HNRNPK,Heterogeneous nuclear ribonucleoprotein K
1508,Q06278,2,AOX1,Aldehyde oxidase
1509,Q6P093,2,AADACL2,Arylacetamide deacetylase-like 2
1510,Q6NXR0,2,IRGC,Interferon-inducible GTPase 5
1511,Q8N1Q1,2,CA13,Carbonic anhydrase 13
1512,Q8N5Z0,2,AADAT,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
1513,P53985,2,SLC16A1,Monocarboxylate transporter 1
1514,Q9BZZ2,2,SIGLEC1,Sialoadhesin
1515,Q6NUS8,2,UGT3A1,UDP-glucuronosyltransferase 3A1
1516,Q6FHJ7,2,SFRP4,Secreted frizzled-related protein 4
1517,P54819,2,AK2,"Adenylate kinase 2, mitochondrial"
1518,Q99571,2,P2RX4,P2X purinoceptor 4
1519,Q12866,2,MERTK,Tyrosine-protein kinase Mer
1520,P61158,2,ACTR3,Actin-related protein 3
1521,Q02083,2,NAAA,N-acylethanolamine-hydrolyzing acid amidase
1522,Q8IVH4,2,MMAA,"Methylmalonic aciduria type A protein, mitochondrial"
1523,Q96KS0,2,EGLN2,Egl nine homolog 2
1524,Q96I99,2,SUCLG2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial"
1525,Q8IUZ5,2,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase
1526,Q02156,2,PRKCE,Protein kinase C epsilon type
1528,Q02221,2,COX6A2,"Cytochrome c oxidase subunit 6A2, mitochondrial"
1529,Q8IU85,2,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D
1530,Q96LZ3,2,PPP3R2,Calcineurin subunit B type 2
1531,P60709,2,ACTB,"Actin, cytoplasmic 1"
1532,Q96NX5,2,CAMK1G,Calcium/calmodulin-dependent protein kinase type 1G
1533,Q86YB8,2,ERO1B,ERO1-like protein beta
1534,Q02809,2,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
1535,P56181,2,NDUFV3,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial"
1536,Q96QT4,2,TRPM7,Transient receptor potential cation channel subfamily M member 7
1537,Q8IYQ7,2,THNSL1,Threonine synthase-like 1
1538,Q96S37,2,SLC22A12,Solute carrier family 22 member 12
1539,P55809,2,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
1540,P55786,2,NPEPPS,Puromycin-sensitive aminopeptidase
1541,P55769,2,SNU13,NHP2-like protein 1
1542,P60953,2,CDC42,Cell division control protein 42 homolog
1543,Q03393,2,PTS,6-pyruvoyl tetrahydrobiopterin synthase
1544,P55210,2,CASP7,Caspase-7
1545,Q04206,2,RELA,Transcription factor p65
1547,P55072,2,VCP,Transitional endoplasmic reticulum ATPase
1548,P61024,2,CKS1B,Cyclin-dependent kinases regulatory subunit 1
1549,Q01718,2,MC2R,Adrenocorticotropic hormone receptor
1550,Q99259,2,GAD1,Glutamate decarboxylase 1
1551,Q99456,2,KRT12,"Keratin, type I cytoskeletal 12"
1552,P53667,2,LIMK1,LIM domain kinase 1
1553,Q9GZT4,2,SRR,Serine racemase
1554,Q9H169,2,STMN4,Stathmin-4
1555,Q9H1R3,2,MYLK2,"Myosin light chain kinase 2, skeletal/cardiac muscle"
1556,Q96A70,2,AZIN2,Antizyme inhibitor 2
1557,Q9NR97,2,TLR8,Toll-like receptor 8
1558,Q16878,2,CDO1,Cysteine dioxygenase type 1
1559,P51553,2,IDH3G,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"
1560,P51512,2,MMP16,Matrix metalloproteinase-16
1561,P51451,2,BLK,Tyrosine-protein kinase Blk
1562,P51178,2,PLCD1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"
1563,P51172,2,SCNN1D,Amiloride-sensitive sodium channel subunit delta
1564,P51170,2,SCNN1G,Amiloride-sensitive sodium channel subunit gamma
1565,P51168,2,SCNN1B,Amiloride-sensitive sodium channel subunit beta
1566,Q16877,2,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4"
1567,Q16873,2,LTC4S,Leukotriene C4 synthase
1568,Q00169,2,PITPNA,Phosphatidylinositol transfer protein alpha isoform
